category,job_title,Text
UI/UX Design,UI Designer,"UI Designer candidate with practical exposure to adobe xd, figma, prototyping, css. Interested in growing expertise in adobe xd and figma."
UI/UX Design,Product Designer,"Product Designer candidate with practical exposure to user research, css, wireframing, prototyping. Interested in growing expertise in user research and css."
Database Administration,Data Engineer,"Data Engineer candidate with practical exposure to mongodb, backup recovery, linux, mysql. Interested in growing expertise in mongodb and backup recovery."
UI/UX Design,UX Researcher,"Motivated UX Researcher skilled in css, adobe xd, wireframing, prototyping. Completed academic and personal projects focused on css and adobe xd. Comfortable working with wireframing."
Machine Learning,ML Research Intern,
Cloud Computing,AWS Solutions Architect,"Motivated AWS Solutions Architect skilled in azure, networking, terraform, linux. Completed academic and personal projects focused on azure and networking. Comfortable working with terraform."
DevOps,Release Engineer,"Release Engineer with a background in ci/cd, docker, ansible, aws. Built projects using ci/cd, docker and ansible. Familiar with aws and team collaboration tools."
Cyber Security,SOC Analyst,"Passionate SOC Analyst proficient in cryptography, network security, penetration testing, siem. Contributed to internship projects using cryptography, network security, penetration testing and siem."
DevOps,Release Engineer,"Experienced Release Engineer with hands-on skills in terraform, ci/cd, docker, jenkins. Worked on multiple projects involving terraform and ci/cd. Strong understanding of docker and jenkins."
Cloud Computing,AWS Solutions Architect,"Passionate AWS Solutions Architect proficient in docker, networking, azure, gcp. Contributed to internship projects using docker, networking, azure and gcp."
DevOps,Site Reliability Engineer,"Experienced Site Reliability Engineer with hands-on skills in terraform, jenkins, aws, ci/cd. Worked on multiple projects involving terraform and jenkins. Strong understanding of aws and ci/cd."
Android Development,Mobile App Developer,"Mobile App Developer with a background in firebase, gradle, java, xml. Built projects using firebase, gradle and java. Familiar with xml and team collaboration tools."
Database Administration,Data Engineer,"Experienced Data Engineer with hands-on skills in sql, performance tuning, mongodb, mysql. Worked on multiple projects involving sql and performance tuning. Strong understanding of mongodb and mysql."
UI/UX Design,UI Designer,"Experienced UI Designer with hands-on skills in wireframing, prototyping, css, adobe xd. Worked on multiple projects involving wireframing and prototyping. Strong understanding of css and adobe xd."
UI/UX Design,UX Researcher,"Motivated UX Researcher skilled in css, prototyping, wireframing, sketch. Completed academic and personal projects focused on css and prototyping. Comfortable working with wireframing."
Cloud Computing,Cloud Engineer,"Passionate Cloud Engineer proficient in aws, linux, kubernetes, networking. Contributed to internship projects using aws, linux, kubernetes and networking."
Cyber Security,Security Analyst,"Experienced Security Analyst with hands-on skills in siem, python, network security, firewalls. Worked on multiple projects involving siem and python. Strong understanding of network security and firewalls."
Machine Learning,Machine Learning Engineer,"Experienced Machine Learning Engineer with hands-on skills in tensorflow, scikit-learn, pandas, pytorch. Worked on multiple projects involving tensorflow and scikit-learn. Strong understanding of pandas and pytorch."
Web Development,Full Stack Developer,"Full Stack Developer with a background in mongodb, rest api, javascript, git. Built projects using mongodb, rest api and javascript. Familiar with git and team collaboration tools."
Android Development,Android Developer,"Android Developer with a background in android studio, java, firebase, sqlite. Built projects using android studio, java and firebase. Familiar with sqlite and team collaboration tools."
Cloud Computing,Cloud Support Associate,"Passionate Cloud Support Associate proficient in terraform, linux, azure, aws. Contributed to internship projects using terraform, linux, azure and aws."
Database Administration,Data Engineer,"Data Engineer with a background in sql, performance tuning, postgresql, linux. Built projects using sql, performance tuning and postgresql. Familiar with linux and team collaboration tools."
Database Administration,Database Administrator,"Motivated Database Administrator skilled in backup recovery, mongodb, postgresql, sql. Completed academic and personal projects focused on backup recovery and mongodb. Comfortable working with postgresql."
Business Analyst,Requirements Analyst,"Motivated Requirements Analyst skilled in excel, requirement gathering, tableau, jira. Completed academic and personal projects focused on excel and requirement gathering. Comfortable working with tableau."
DevOps,Site Reliability Engineer,"Passionate Site Reliability Engineer proficient in jenkins, ci/cd, kubernetes, linux. Contributed to internship projects using jenkins, ci/cd, kubernetes and linux."
Cloud Computing,Cloud Support Associate,"Cloud Support Associate candidate with practical exposure to networking, docker, terraform, kubernetes. Interested in growing expertise in networking and docker."
Cloud Computing,AWS Solutions Architect,"AWS Solutions Architect with a background in azure, gcp, docker, networking. Built projects using azure, gcp and docker. Familiar with networking and team collaboration tools."
UI/UX Design,Product Designer,"Product Designer candidate with practical exposure to sketch, prototyping, wireframing, figma. Interested in growing expertise in sketch and prototyping."
UI/UX Design,UX Researcher,"UX Researcher with a background in prototyping, adobe xd, wireframing, user research. Built projects using prototyping, adobe xd and wireframing. Familiar with user research and team collaboration tools."
Cyber Security,Penetration Tester,"Penetration Tester candidate with practical exposure to python, linux, firewalls, network security. Interested in growing expertise in python and linux."
Business Analyst,Business Analyst,"Experienced Business Analyst with hands-on skills in sql, tableau, requirement gathering, communication. Worked on multiple projects involving sql and tableau. Strong understanding of requirement gathering and communication."
Business Analyst,Business Analyst,"Passionate Business Analyst proficient in tableau, jira, requirement gathering, communication. Contributed to internship projects using tableau, jira, requirement gathering and communication."
Data Science,Data Scientist,"Motivated Data Scientist skilled in statistics, matplotlib, data visualization, pandas. Completed academic and personal projects focused on statistics and matplotlib. Comfortable working with data visualization."
Cloud Computing,Cloud Support Associate,"Cloud Support Associate candidate with practical exposure to linux, docker, kubernetes, networking. Interested in growing expertise in linux and docker."
Cyber Security,Penetration Tester,"Penetration Tester candidate with practical exposure to linux, siem, cryptography, python. Interested in growing expertise in linux and siem."
Cloud Computing,AWS Solutions Architect,"AWS Solutions Architect with a background in azure, linux, networking, gcp. Built projects using azure, linux and networking. Familiar with gcp and team collaboration tools."
Web Development,Full Stack Developer,"Full Stack Developer candidate with practical exposure to javascript, css, git, react. Interested in growing expertise in javascript and css."
Cloud Computing,Cloud Support Associate,"Cloud Support Associate candidate with practical exposure to kubernetes, aws, azure, gcp. Interested in growing expertise in kubernetes and aws."
Machine Learning,ML Research Intern,"ML Research Intern with a background in deep learning, python, nlp, numpy. Built projects using deep learning, python and nlp. Familiar with numpy and team collaboration tools."
Android Development,Mobile App Developer,"Experienced Mobile App Developer with hands-on skills in java, firebase, android studio, kotlin. Worked on multiple projects involving java and firebase. Strong understanding of android studio and kotlin."
UI/UX Design,UI Designer,"Experienced UI Designer with hands-on skills in user research, wireframing, prototyping, css. Worked on multiple projects involving user research and wireframing. Strong understanding of prototyping and css."
UI/UX Design,UX Researcher,"UX Researcher with a background in figma, wireframing, prototyping, css. Built projects using figma, wireframing and prototyping. Familiar with css and team collaboration tools."
Web Development,Backend Developer,"Passionate Backend Developer proficient in css, node.js, rest api, html. Contributed to internship projects using css, node.js, rest api and html."
Android Development,Android Developer,"Android Developer candidate with practical exposure to android studio, java, kotlin, sqlite. Interested in growing expertise in android studio and java."
Business Analyst,Product Analyst,"Product Analyst candidate with practical exposure to communication, jira, sql, requirement gathering. Interested in growing expertise in communication and jira."
UI/UX Design,UX Researcher,"Motivated UX Researcher skilled in css, user research, prototyping, wireframing. Completed academic and personal projects focused on css and user research. Comfortable working with prototyping."
Database Administration,Data Engineer,"Experienced Data Engineer with hands-on skills in backup recovery, performance tuning, sql, mysql. Worked on multiple projects involving backup recovery and performance tuning. Strong understanding of sql and mysql."
Machine Learning,ML Research Intern,"Experienced ML Research Intern with hands-on skills in tensorflow, scikit-learn, pandas, deep learning. Worked on multiple projects involving tensorflow and scikit-learn. Strong understanding of pandas and deep learning."
Web Development,Frontend Developer,"Experienced Frontend Developer with hands-on skills in git, react, rest api, node.js. Worked on multiple projects involving git and react. Strong understanding of rest api and node.js."
UI/UX Design,UX Researcher,"Experienced UX Researcher with hands-on skills in adobe xd, wireframing, sketch, prototyping. Worked on multiple projects involving adobe xd and wireframing. Strong understanding of sketch and prototyping."
Web Development,Full Stack Developer,"Full Stack Developer with a background in node.js, git, rest api, mongodb. Built projects using node.js, git and rest api. Familiar with mongodb and team collaboration tools."
Machine Learning,ML Research Intern,"Experienced ML Research Intern with hands-on skills in pytorch, nlp, scikit-learn, tensorflow. Worked on multiple projects involving pytorch and nlp. Strong understanding of scikit-learn and tensorflow."
Android Development,Android Developer,"Experienced Android Developer with hands-on skills in kotlin, android studio, firebase, sqlite. Worked on multiple projects involving kotlin and android studio. Strong understanding of firebase and sqlite."
UI/UX Design,UI Designer,"Passionate UI Designer proficient in sketch, wireframing, prototyping, css. Contributed to internship projects using sketch, wireframing, prototyping and css."
Business Analyst,Requirements Analyst,"Passionate Requirements Analyst proficient in requirement gathering, excel, communication, tableau. Contributed to internship projects using requirement gathering, excel, communication and tableau."
DevOps,Release Engineer,"Motivated Release Engineer skilled in linux, docker, terraform, kubernetes. Completed academic and personal projects focused on linux and docker. Comfortable working with terraform."
Database Administration,Data Engineer,"Experienced Data Engineer with hands-on skills in linux, performance tuning, postgresql, sql. Worked on multiple projects involving linux and performance tuning. Strong understanding of postgresql and sql."
Android Development,Mobile App Developer,"Mobile App Developer candidate with practical exposure to sqlite, xml, android studio, kotlin. Interested in growing expertise in sqlite and xml."
Database Administration,SQL Developer,"Passionate SQL Developer proficient in sql, mongodb, postgresql, performance tuning. Contributed to internship projects using sql, mongodb, postgresql and performance tuning."
Cyber Security,Penetration Tester,"Experienced Penetration Tester with hands-on skills in siem, penetration testing, linux, cryptography. Worked on multiple projects involving siem and penetration testing. Strong understanding of linux and cryptography."
UI/UX Design,UX Researcher,"Passionate UX Researcher proficient in css, user research, figma, prototyping. Contributed to internship projects using css, user research, figma and prototyping."
Web Development,Backend Developer,"Motivated Backend Developer skilled in rest api, html, react, node.js. Completed academic and personal projects focused on rest api and html. Comfortable working with react."
Data Science,Junior Data Scientist,"Junior Data Scientist candidate with practical exposure to matplotlib, statistics, python, pandas. Interested in growing expertise in matplotlib and statistics."
Business Analyst,Product Analyst,"Product Analyst candidate with practical exposure to jira, requirement gathering, tableau, excel. Interested in growing expertise in jira and requirement gathering."
Machine Learning,ML Research Intern,"ML Research Intern candidate with practical exposure to tensorflow, numpy, pytorch, nlp. Interested in growing expertise in tensorflow and numpy."
Web Development,Frontend Developer,"Frontend Developer candidate with practical exposure to react, rest api, css, javascript. Interested in growing expertise in react and rest api."
Business Analyst,Business Analyst,"Business Analyst candidate with practical exposure to requirement gathering, excel, sql, tableau. Interested in growing expertise in requirement gathering and excel."
UI/UX Design,UI Designer,"UI Designer with a background in prototyping, sketch, wireframing, user research. Built projects using prototyping, sketch and wireframing. Familiar with user research and team collaboration tools."
DevOps,Site Reliability Engineer,"Passionate Site Reliability Engineer proficient in ci/cd, ansible, linux, kubernetes. Contributed to internship projects using ci/cd, ansible, linux and kubernetes."
DevOps,DevOps Engineer,"DevOps Engineer candidate with practical exposure to jenkins, terraform, docker, ansible. Interested in growing expertise in jenkins and terraform."
DevOps,Site Reliability Engineer,"Site Reliability Engineer candidate with practical exposure to linux, terraform, docker, jenkins. Interested in growing expertise in linux and terraform."
Cloud Computing,Cloud Support Associate,"Cloud Support Associate candidate with practical exposure to networking, terraform, azure, docker. Interested in growing expertise in networking and terraform."
Business Analyst,Product Analyst,"Motivated Product Analyst skilled in power bi, communication, tableau, requirement gathering. Completed academic and personal projects focused on power bi and communication. Comfortable working with tableau."
UI/UX Design,UX Researcher,"UX Researcher with a background in sketch, adobe xd, user research, prototyping. Built projects using sketch, adobe xd and user research. Familiar with prototyping and team collaboration tools."
Machine Learning,ML Research Intern,"Experienced ML Research Intern with hands-on skills in nlp, numpy, pytorch, pandas. Worked on multiple projects involving nlp and numpy. Strong understanding of pytorch and pandas."
DevOps,Release Engineer,"Release Engineer with a background in ansible, docker, kubernetes, linux. Built projects using ansible, docker and kubernetes. Familiar with linux and team collaboration tools."
Database Administration,SQL Developer,"Experienced SQL Developer with hands-on skills in linux, mongodb, sql, performance tuning. Worked on multiple projects involving linux and mongodb. Strong understanding of sql and performance tuning."
Data Science,Junior Data Scientist,"Junior Data Scientist with a background in excel, matplotlib, data visualization, pandas. Built projects using excel, matplotlib and data visualization. Familiar with pandas and team collaboration tools."
Web Development,Backend Developer,"Motivated Backend Developer skilled in rest api, node.js, mongodb, react. Completed academic and personal projects focused on rest api and node.js. Comfortable working with mongodb."
Web Development,Backend Developer,"Backend Developer candidate with practical exposure to git, javascript, rest api, react. Interested in growing expertise in git and javascript."
Business Analyst,Business Analyst,"Business Analyst candidate with practical exposure to excel, sql, power bi, tableau. Interested in growing expertise in excel and sql."
Web Development,Backend Developer,"Experienced Backend Developer with hands-on skills in css, react, mongodb, javascript. Worked on multiple projects involving css and react. Strong understanding of mongodb and javascript."
Data Science,Data Scientist,"Motivated Data Scientist skilled in python, numpy, excel, data visualization. Completed academic and personal projects focused on python and numpy. Comfortable working with excel."
DevOps,DevOps Engineer,"DevOps Engineer with a background in terraform, linux, aws, kubernetes. Built projects using terraform, linux and aws. Familiar with kubernetes and team collaboration tools."
Android Development,Android Developer,"Experienced Android Developer with hands-on skills in firebase, xml, gradle, kotlin. Worked on multiple projects involving firebase and xml. Strong understanding of gradle and kotlin."
UI/UX Design,Product Designer,"Product Designer with a background in adobe xd, prototyping, wireframing, sketch. Built projects using adobe xd, prototyping and wireframing. Familiar with sketch and team collaboration tools."
Cloud Computing,Cloud Support Associate,"Experienced Cloud Support Associate with hands-on skills in networking, gcp, linux, kubernetes. Worked on multiple projects involving networking and gcp. Strong understanding of linux and kubernetes."
Android Development,Android Developer,"Passionate Android Developer proficient in android studio, firebase, gradle, xml. Contributed to internship projects using android studio, firebase, gradle and xml."
Cloud Computing,AWS Solutions Architect,"Motivated AWS Solutions Architect skilled in docker, networking, terraform, aws. Completed academic and personal projects focused on docker and networking. Comfortable working with terraform."
Machine Learning,ML Research Intern,"ML Research Intern candidate with practical exposure to nlp, deep learning, tensorflow, numpy. Interested in growing expertise in nlp and deep learning."
Data Science,Junior Data Scientist,"Passionate Junior Data Scientist proficient in sql, python, matplotlib, excel. Contributed to internship projects using sql, python, matplotlib and excel."
Database Administration,Data Engineer,"Passionate Data Engineer proficient in linux, postgresql, mysql, performance tuning. Contributed to internship projects using linux, postgresql, mysql and performance tuning."
Machine Learning,AI Engineer,
Web Development,Full Stack Developer,"Experienced Full Stack Developer with hands-on skills in node.js, git, react, html. Worked on multiple projects involving node.js and git. Strong understanding of react and html."
Database Administration,SQL Developer,"SQL Developer with a background in sql, postgresql, performance tuning, mongodb. Built projects using sql, postgresql and performance tuning. Familiar with mongodb and team collaboration tools."
Android Development,Android Developer,"Android Developer with a background in gradle, firebase, android studio, sqlite. Built projects using gradle, firebase and android studio. Familiar with sqlite and team collaboration tools."
Android Development,Mobile App Developer,"Passionate Mobile App Developer proficient in gradle, android studio, sqlite, java. Contributed to internship projects using gradle, android studio, sqlite and java."
UI/UX Design,UI Designer,"UI Designer with a background in css, adobe xd, prototyping, wireframing. Built projects using css, adobe xd and prototyping. Familiar with wireframing and team collaboration tools."
Web Development,Backend Developer,"Experienced Backend Developer with hands-on skills in node.js, mongodb, html, react. Worked on multiple projects involving node.js and mongodb. Strong understanding of html and react."
Cyber Security,SOC Analyst,"Motivated SOC Analyst skilled in firewalls, cryptography, linux, network security. Completed academic and personal projects focused on firewalls and cryptography. Comfortable working with linux."
Machine Learning,ML Research Intern,"Experienced ML Research Intern with hands-on skills in nlp, deep learning, scikit-learn, python. Worked on multiple projects involving nlp and deep learning. Strong understanding of scikit-learn and python."
UI/UX Design,Product Designer,"Motivated Product Designer skilled in sketch, prototyping, figma, adobe xd. Completed academic and personal projects focused on sketch and prototyping. Comfortable working with figma."
Data Science,Data Scientist,"Motivated Data Scientist skilled in matplotlib, python, excel, pandas. Completed academic and personal projects focused on matplotlib and python. Comfortable working with excel."
Business Analyst,Business Analyst,"Passionate Business Analyst proficient in requirement gathering, power bi, communication, jira. Contributed to internship projects using requirement gathering, power bi, communication and jira."
