job_id,category,job_title,job_description,job_skill_set
1024,Android Development,Mobile App Developer,"Join us as a Mobile App Developer. Required skills include firebase, java, sqlite, gradle. Prior exposure to firebase and sqlite is preferred.","java, kotlin, android studio, xml, firebase, sqlite, gradle"
1025,Machine Learning,Machine Learning Engineer,"Hiring a Machine Learning Engineer with strong knowledge of nlp, pandas, pytorch, deep learning. Must be comfortable using nlp, pandas and pytorch in daily work.","python, scikit-learn, tensorflow, pytorch, deep learning, nlp, pandas, numpy"
1026,Machine Learning,Machine Learning Engineer,"Join us as a Machine Learning Engineer. Required skills include tensorflow, deep learning, pandas, scikit-learn. Prior exposure to tensorflow and pandas is preferred.","python, scikit-learn, tensorflow, pytorch, deep learning, nlp, pandas, numpy"
1027,Machine Learning,Machine Learning Engineer,"Our company is seeking a Machine Learning Engineer experienced in nlp, scikit-learn, pytorch, deep learning. The role requires expertise in nlp and scikit-learn.","python, scikit-learn, tensorflow, pytorch, deep learning, nlp, pandas, numpy"
1028,Machine Learning,ML Research Intern,"Our company is seeking a ML Research Intern experienced in nlp, deep learning, pandas, numpy. The role requires expertise in nlp and deep learning.","python, scikit-learn, tensorflow, pytorch, deep learning, nlp, pandas, numpy"
1029,Machine Learning,ML Research Intern,"Join us as a ML Research Intern. Required skills include deep learning, pytorch, python, tensorflow. Prior exposure to deep learning and python is preferred.","python, scikit-learn, tensorflow, pytorch, deep learning, nlp, pandas, numpy"
1030,Machine Learning,ML Research Intern,"Our company is seeking a ML Research Intern experienced in scikit-learn, pytorch, deep learning, tensorflow. The role requires expertise in scikit-learn and pytorch.","python, scikit-learn, tensorflow, pytorch, deep learning, nlp, pandas, numpy"
1031,Machine Learning,AI Engineer,"We are looking for a AI Engineer to join our team. The candidate should be skilled in numpy, tensorflow, nlp, deep learning. Responsibilities include working on numpy and tensorflow related tasks.","python, scikit-learn, tensorflow, pytorch, deep learning, nlp, pandas, numpy"
1032,Machine Learning,AI Engineer,"Hiring a AI Engineer with strong knowledge of python, deep learning, pytorch, scikit-learn. Must be comfortable using python, deep learning and pytorch in daily work.","python, scikit-learn, tensorflow, pytorch, deep learning, nlp, pandas, numpy"
1033,Machine Learning,AI Engineer,"Join us as a AI Engineer. Required skills include tensorflow, pandas, nlp, scikit-learn. Prior exposure to tensorflow and nlp is preferred.","python, scikit-learn, tensorflow, pytorch, deep learning, nlp, pandas, numpy"
1034,Cloud Computing,Cloud Engineer,"We are looking for a Cloud Engineer to join our team. The candidate should be skilled in azure, networking, aws, docker. Responsibilities include working on azure and networking related tasks.","aws, azure, gcp, docker, kubernetes, linux, terraform, networking"
1035,Cloud Computing,Cloud Engineer,"Our company is seeking a Cloud Engineer experienced in terraform, azure, docker, networking. The role requires expertise in terraform and azure.","aws, azure, gcp, docker, kubernetes, linux, terraform, networking"
1036,Cloud Computing,Cloud Engineer,"Join us as a Cloud Engineer. Required skills include networking, terraform, linux, aws. Prior exposure to networking and linux is preferred.","aws, azure, gcp, docker, kubernetes, linux, terraform, networking"
1037,Cloud Computing,AWS Solutions Architect,"Hiring a AWS Solutions Architect with strong knowledge of docker, kubernetes, gcp, networking. Must be comfortable using docker, kubernetes and gcp in daily work.","aws, azure, gcp, docker, kubernetes, linux, terraform, networking"
1038,Cloud Computing,AWS Solutions Architect,"Join us as a AWS Solutions Architect. Required skills include linux, azure, docker, kubernetes. Prior exposure to linux and docker is preferred.","aws, azure, gcp, docker, kubernetes, linux, terraform, networking"
1039,Cloud Computing,AWS Solutions Architect,"Our company is seeking a AWS Solutions Architect experienced in linux, networking, terraform, gcp. The role requires expertise in linux and networking.","aws, azure, gcp, docker, kubernetes, linux, terraform, networking"
1040,Cloud Computing,Cloud Support Associate,"Join us as a Cloud Support Associate. Required skills include docker, azure, gcp, kubernetes. Prior exposure to docker and gcp is preferred.","aws, azure, gcp, docker, kubernetes, linux, terraform, networking"
1041,Cloud Computing,Cloud Support Associate,"Our company is seeking a Cloud Support Associate experienced in docker, gcp, terraform, azure. The role requires expertise in docker and gcp.","aws, azure, gcp, docker, kubernetes, linux, terraform, networking"
1042,Cloud Computing,Cloud Support Associate,"Join us as a Cloud Support Associate. Required skills include linux, docker, gcp, kubernetes. Prior exposure to linux and gcp is preferred.","aws, azure, gcp, docker, kubernetes, linux, terraform, networking"
1043,Cyber Security,Security Analyst,"Our company is seeking a Security Analyst experienced in linux, network security, firewalls, cryptography. The role requires expertise in linux and network security.","network security, penetration testing, linux, cryptography, firewalls, python, siem"
1044,Cyber Security,Security Analyst,"Join us as a Security Analyst. Required skills include siem, linux, penetration testing, python. Prior exposure to siem and penetration testing is preferred.","network security, penetration testing, linux, cryptography, firewalls, python, siem"
1045,Cyber Security,Security Analyst,"We are looking for a Security Analyst to join our team. The candidate should be skilled in linux, python, network security, siem. Responsibilities include working on linux and python related tasks.","network security, penetration testing, linux, cryptography, firewalls, python, siem"
1046,Cyber Security,Penetration Tester,"Join us as a Penetration Tester. Required skills include python, linux, cryptography, penetration testing. Prior exposure to python and cryptography is preferred.","network security, penetration testing, linux, cryptography, firewalls, python, siem"
1047,Cyber Security,Penetration Tester,"Hiring a Penetration Tester with strong knowledge of siem, firewalls, linux, python. Must be comfortable using siem, firewalls and linux in daily work.","network security, penetration testing, linux, cryptography, firewalls, python, siem"
1048,Cyber Security,Penetration Tester,"Hiring a Penetration Tester with strong knowledge of network security, firewalls, python, penetration testing. Must be comfortable using network security, firewalls and python in daily work.","network security, penetration testing, linux, cryptography, firewalls, python, siem"
1049,Cyber Security,SOC Analyst,"Hiring a SOC Analyst with strong knowledge of network security, python, firewalls, penetration testing. Must be comfortable using network security, python and firewalls in daily work.","network security, penetration testing, linux, cryptography, firewalls, python, siem"
1050,Cyber Security,SOC Analyst,"Hiring a SOC Analyst with strong knowledge of network security, siem, cryptography, linux. Must be comfortable using network security, siem and cryptography in daily work.","network security, penetration testing, linux, cryptography, firewalls, python, siem"
1051,Cyber Security,SOC Analyst,"Join us as a SOC Analyst. Required skills include network security, python, penetration testing, siem. Prior exposure to network security and penetration testing is preferred.","network security, penetration testing, linux, cryptography, firewalls, python, siem"
1052,DevOps,DevOps Engineer,"Hiring a DevOps Engineer with strong knowledge of terraform, aws, ci/cd, ansible. Must be comfortable using terraform, aws and ci/cd in daily work.","docker, kubernetes, jenkins, ci/cd, linux, aws, terraform, ansible"
1053,DevOps,DevOps Engineer,"Hiring a DevOps Engineer with strong knowledge of linux, jenkins, terraform, docker. Must be comfortable using linux, jenkins and terraform in daily work.","docker, kubernetes, jenkins, ci/cd, linux, aws, terraform, ansible"
1054,DevOps,DevOps Engineer,"We are looking for a DevOps Engineer to join our team. The candidate should be skilled in ci/cd, linux, aws, docker. Responsibilities include working on ci/cd and linux related tasks.","docker, kubernetes, jenkins, ci/cd, linux, aws, terraform, ansible"
1055,DevOps,Site Reliability Engineer,"Hiring a Site Reliability Engineer with strong knowledge of terraform, ansible, kubernetes, docker. Must be comfortable using terraform, ansible and kubernetes in daily work.","docker, kubernetes, jenkins, ci/cd, linux, aws, terraform, ansible"
1056,DevOps,Site Reliability Engineer,"Join us as a Site Reliability Engineer. Required skills include ansible, kubernetes, aws, jenkins. Prior exposure to ansible and aws is preferred.","docker, kubernetes, jenkins, ci/cd, linux, aws, terraform, ansible"
1057,DevOps,Site Reliability Engineer,"We are looking for a Site Reliability Engineer to join our team. The candidate should be skilled in docker, jenkins, linux, aws. Responsibilities include working on docker and jenkins related tasks.","docker, kubernetes, jenkins, ci/cd, linux, aws, terraform, ansible"
1058,DevOps,Release Engineer,"We are looking for a Release Engineer to join our team. The candidate should be skilled in aws, jenkins, ci/cd, linux. Responsibilities include working on aws and jenkins related tasks.","docker, kubernetes, jenkins, ci/cd, linux, aws, terraform, ansible"
1059,DevOps,Release Engineer,"Join us as a Release Engineer. Required skills include jenkins, terraform, linux, ci/cd. Prior exposure to jenkins and linux is preferred.","docker, kubernetes, jenkins, ci/cd, linux, aws, terraform, ansible"
1060,DevOps,Release Engineer,"Our company is seeking a Release Engineer experienced in ci/cd, terraform, docker, jenkins. The role requires expertise in ci/cd and terraform.","docker, kubernetes, jenkins, ci/cd, linux, aws, terraform, ansible"
1061,UI/UX Design,UI Designer,"Hiring a UI Designer with strong knowledge of sketch, prototyping, wireframing, adobe xd. Must be comfortable using sketch, prototyping and wireframing in daily work.","figma, adobe xd, wireframing, prototyping, user research, sketch, css"
1062,UI/UX Design,UI Designer,"We are looking for a UI Designer to join our team. The candidate should be skilled in sketch, wireframing, css, adobe xd. Responsibilities include working on sketch and wireframing related tasks.","figma, adobe xd, wireframing, prototyping, user research, sketch, css"
1063,UI/UX Design,UI Designer,"Hiring a UI Designer with strong knowledge of user research, sketch, prototyping, css. Must be comfortable using user research, sketch and prototyping in daily work.","figma, adobe xd, wireframing, prototyping, user research, sketch, css"
1064,UI/UX Design,UX Researcher,"Our company is seeking a UX Researcher experienced in figma, prototyping, css, adobe xd. The role requires expertise in figma and prototyping.","figma, adobe xd, wireframing, prototyping, user research, sketch, css"
1065,UI/UX Design,UX Researcher,"Hiring a UX Researcher with strong knowledge of prototyping, wireframing, adobe xd, figma. Must be comfortable using prototyping, wireframing and adobe xd in daily work.","figma, adobe xd, wireframing, prototyping, user research, sketch, css"
1066,UI/UX Design,UX Researcher,"Our company is seeking a UX Researcher experienced in prototyping, adobe xd, css, wireframing. The role requires expertise in prototyping and adobe xd.","figma, adobe xd, wireframing, prototyping, user research, sketch, css"
1067,UI/UX Design,Product Designer,"Our company is seeking a Product Designer experienced in wireframing, user research, sketch, figma. The role requires expertise in wireframing and user research.","figma, adobe xd, wireframing, prototyping, user research, sketch, css"
1068,UI/UX Design,Product Designer,"Our company is seeking a Product Designer experienced in sketch, wireframing, adobe xd, figma. The role requires expertise in sketch and wireframing.","figma, adobe xd, wireframing, prototyping, user research, sketch, css"
1069,UI/UX Design,Product Designer,"We are looking for a Product Designer to join our team. The candidate should be skilled in prototyping, wireframing, adobe xd, css. Responsibilities include working on prototyping and wireframing related tasks.","figma, adobe xd, wireframing, prototyping, user research, sketch, css"
1070,Business Analyst,Business Analyst,"Our company is seeking a Business Analyst experienced in tableau, excel, power bi, communication. The role requires expertise in tableau and excel.","excel, sql, power bi, requirement gathering, communication, tableau, jira"
1071,Business Analyst,Business Analyst,"Hiring a Business Analyst with strong knowledge of sql, jira, requirement gathering, tableau. Must be comfortable using sql, jira and requirement gathering in daily work.","excel, sql, power bi, requirement gathering, communication, tableau, jira"
1072,Business Analyst,Business Analyst,"Join us as a Business Analyst. Required skills include tableau, communication, power bi, requirement gathering. Prior exposure to tableau and power bi is preferred.","excel, sql, power bi, requirement gathering, communication, tableau, jira"
1073,Business Analyst,Product Analyst,"Join us as a Product Analyst. Required skills include jira, communication, sql, tableau. Prior exposure to jira and sql is preferred.","excel, sql, power bi, requirement gathering, communication, tableau, jira"
1074,Business Analyst,Product Analyst,"We are looking for a Product Analyst to join our team. The candidate should be skilled in communication, requirement gathering, jira, power bi. Responsibilities include working on communication and requirement gathering related tasks.","excel, sql, power bi, requirement gathering, communication, tableau, jira"
1075,Business Analyst,Product Analyst,"We are looking for a Product Analyst to join our team. The candidate should be skilled in communication, excel, tableau, sql. Responsibilities include working on communication and excel related tasks.","excel, sql, power bi, requirement gathering, communication, tableau, jira"
1076,Business Analyst,Requirements Analyst,"Hiring a Requirements Analyst with strong knowledge of sql, power bi, communication, requirement gathering. Must be comfortable using sql, power bi and communication in daily work.","excel, sql, power bi, requirement gathering, communication, tableau, jira"
1077,Business Analyst,Requirements Analyst,"We are looking for a Requirements Analyst to join our team. The candidate should be skilled in tableau, sql, communication, requirement gathering. Responsibilities include working on tableau and sql related tasks.","excel, sql, power bi, requirement gathering, communication, tableau, jira"
1078,Business Analyst,Requirements Analyst,"We are looking for a Requirements Analyst to join our team. The candidate should be skilled in communication, requirement gathering, excel, tableau. Responsibilities include working on communication and requirement gathering related tasks.","excel, sql, power bi, requirement gathering, communication, tableau, jira"
1079,Database Administration,Database Administrator,"Hiring a Database Administrator with strong knowledge of backup recovery, mongodb, performance tuning, sql. Must be comfortable using backup recovery, mongodb and performance tuning in daily work.","sql, mysql, postgresql, mongodb, backup recovery, performance tuning, linux"
1080,Database Administration,Database Administrator,"Join us as a Database Administrator. Required skills include performance tuning, postgresql, sql, mongodb. Prior exposure to performance tuning and sql is preferred.","sql, mysql, postgresql, mongodb, backup recovery, performance tuning, linux"
1081,Database Administration,Database Administrator,"Our company is seeking a Database Administrator experienced in linux, sql, mysql, performance tuning. The role requires expertise in linux and sql.","sql, mysql, postgresql, mongodb, backup recovery, performance tuning, linux"
1082,Database Administration,SQL Developer,"We are looking for a SQL Developer to join our team. The candidate should be skilled in mongodb, postgresql, sql, backup recovery. Responsibilities include working on mongodb and postgresql related tasks.","sql, mysql, postgresql, mongodb, backup recovery, performance tuning, linux"
1083,Database Administration,SQL Developer,"We are looking for a SQL Developer to join our team. The candidate should be skilled in mongodb, sql, postgresql, linux. Responsibilities include working on mongodb and sql related tasks.","sql, mysql, postgresql, mongodb, backup recovery, performance tuning, linux"
1084,Database Administration,SQL Developer,"Hiring a SQL Developer with strong knowledge of linux, mysql, mongodb, postgresql. Must be comfortable using linux, mysql and mongodb in daily work.","sql, mysql, postgresql, mongodb, backup recovery, performance tuning, linux"
1085,Database Administration,Data Engineer,"Join us as a Data Engineer. Required skills include mongodb, linux, performance tuning, sql. Prior exposure to mongodb and performance tuning is preferred.","sql, mysql, postgresql, mongodb, backup recovery, performance tuning, linux"
1086,Database Administration,Data Engineer,"Hiring a Data Engineer with strong knowledge of performance tuning, postgresql, sql, mysql. Must be comfortable using performance tuning, postgresql and sql in daily work.","sql, mysql, postgresql, mongodb, backup recovery, performance tuning, linux"
1087,Database Administration,Data Engineer,"Join us as a Data Engineer. Required skills include backup recovery, mysql, performance tuning, sql. Prior exposure to backup recovery and performance tuning is preferred.","sql, mysql, postgresql, mongodb, backup recovery, performance tuning, linux"
